Année,Module,Ancien_Actif,Nouvel_Actif,Plus-value,Taxe
2018,REITs,REM,BIL,-82.1625672460327,-24.648770173809808
2018,REITs,BIL,REM,3.431075838208663,1.0293227514625989
2018,REITs,REM,BIL,60.92149881357878,18.276449644073633
2018,Equities,VXUS,SPY,-41.1911972530869,-12.357359175926069
2018,REITs,BIL,REM,3.7197723825389177,1.1159317147616752
2018,Stress,GLD,BIL,-91.98630259960656,-27.595890779881966
2018,Bonds,HYG,BIL,-52.488779469878025,-15.746633840963407
2018,Equities,SPY,BIL,-244.53576892882774,-73.36073067864832
2018,REITs,REM,BIL,-219.79031663904107,-65.93709499171231
2019,Bonds,BIL,HYG,13.784332336742228,4.135299701022668
2019,REITs,BIL,REM,13.778929527890396,4.1336788583671185
2019,Stress,BIL,TLT,13.773528836685092,4.1320586510055275
2019,Equities,BIL,SPY,-0.30154929289108323,-0.09046478786732497
2019,REITs,REM,VNQ,-25.335226981112736,-7.600568094333821
2019,Bonds,HYG,VCIT,28.48006815096831,8.544020445290492
2019,Stress,TLT,GLD,27.755589549757183,8.326676864927155
2019,Stress,GLD,TLT,-107.51934243566191,-32.25580273069857
2019,Bonds,VCIT,HYG,7.30924987121624,2.1927749613648717
2019,Stress,TLT,GLD,-107.57700561962557,-32.27310168588767
2020,Bonds,HYG,VCIT,9.244958325490153,2.7734874976470456
2020,Stress,GLD,TLT,147.13808185789904,44.14142455736971
2020,Equities,SPY,BIL,-431.1581035671682,-129.34743107015046
2020,REITs,VNQ,BIL,-670.3903328737683,-201.1170998621305
2020,Equities,BIL,SPY,0.8179897059839445,0.24539691179518333
2020,Stress,TLT,GLD,-59.48935027408016,-17.846805082224048
2020,Stress,GLD,TLT,95.558135848774,28.6674407546322
2020,Stress,TLT,GLD,156.61462940483005,46.984388821449016
2021,Bonds,VCIT,HYG,-66.92560191794449,-20.077680575383347
2021,REITs,BIL,VNQ,-0.4119637275907418,-0.12358911827722253
2021,REITs,VNQ,REM,170.9541356030166,51.286240680904974
2021,Equities,SPY,VXUS,216.56633860443523,64.96990158133056
2021,Equities,VXUS,SPY,-45.351862994386074,-13.605558898315822
2021,Stress,GLD,BIL,-291.20014811091403,-87.36004443327421
2021,REITs,REM,VNQ,-247.74140995694557,-74.32242298708367
2022,Stress,BIL,GLD,-0.9152332402681801,-0.27456997208045403
2022,Bonds,HYG,BIL,-53.95373018367894,-16.18611905510368
2022,Equities,SPY,BIL,9.320622706225327,2.796186811867598
2022,Stress,GLD,BIL,-134.6627179464264,-40.39881538392792
2022,REITs,VNQ,BIL,-327.9475159945122,-98.38425479835365
2022,Stress,BIL,GLD,1.7952158689210136,0.5385647606763041
2022,Stress,GLD,BIL,-105.41642544473788,-31.624927633421365
2023,Stress,BIL,GLD,35.60861429655671,10.682584288967012
2023,Stress,GLD,BIL,-224.8187299683631,-67.44561899050893
2023,Equities,BIL,VXUS,9.894058145413203,2.968217443623961
2023,Stress,BIL,GLD,9.892313376560773,2.967694012968232
2023,Equities,VXUS,SPY,-148.6242840378058,-44.587285211341744
2023,Bonds,BIL,HYG,18.739868195945512,5.621960458783653
2023,Bonds,HYG,BIL,45.48296287671164,13.644888863013492
2023,Bonds,BIL,HYG,20.765718551607623,6.229715565482286
2023,REITs,BIL,REM,16.888897970000087,5.066669391000026
2023,Equities,SPY,VXUS,-75.8704249596133,-22.76112748788399
2023,REITs,REM,BIL,-376.16201172020567,-112.8486035160617
2023,Equities,VXUS,SPY,346.56873244526685,103.97061973358005
2023,REITs,BIL,REM,-2.0012306121900876,-0.6003691836570263
2024,REITs,REM,BIL,-7.536843148475531,-2.261052944542659
2024,Stress,GLD,BIL,-64.0017280622755,-19.200518418682652
2024,Stress,BIL,GLD,0.0,0.0
2024,REITs,BIL,REM,21.563861611509804,6.469158483452941
2024,REITs,REM,BIL,-69.16819648832842,-20.750458946498526
2024,REITs,BIL,VNQ,22.821460706775085,6.846438212032525
2024,REITs,VNQ,BIL,-512.3490381471797,-153.7047114441539
2025,REITs,BIL,VNQ,62.41289895093374,18.72386968528012
2025,REITs,VNQ,REM,209.9553985398416,62.98661956195248
2025,REITs,REM,VNQ,-304.41274329230447,-91.32382298769134
2025,Equities,SPY,VXUS,-32.76201469639393,-9.82860440891818
2025,Bonds,HYG,VCIT,5.739102782737948,1.7217308348213844
2025,Bonds,VCIT,HYG,-17.15352328844855,-5.146056986534565
